ucsc external_gene_name ensembl_gene_id
uc003hly.4 ANTXR2 ENSG00000163297
uc003hrt.4 HERC5 ENSG00000138646
uc003hub.3 TSPAN5 ENSG00000168785
uc003ibq.1 ARSJ ENSG00000180801
uc003iev.1 FGF2 ENSG00000138685
uc003ihp.1 ELF2 ENSG00000109381
uc003ipg.3 CTSO ENSG00000256043
uc003irg.4 CPE ENSG00000109472
uc003irp.3 DDX60 ENSG00000137628
uc003ius.1 VEGFC ENSG00000150630
uc003iyq.3 TLR3 ENSG00000164342
uc003jak.2 PLEKHG4B ENSG00000153404
uc003jbr.3 TRIP13 ENSG00000071539
uc003jbu.3 SLC12A7 ENSG00000113504
uc003jlz.3 PTGER4 ENSG00000171522
uc003jpb.2 CTD-2366F13.1 ENSG00000247796
uc003jpc.3 FST ENSG00000134363
uc003jph.2 HSPB3 ENSG00000169271
uc003jsk.2 ERCC8 ENSG00000049167
uc003jva.3 PIK3R1 ENSG00000145675
uc003kgc.3 CMYA5 ENSG00000164309
uc003klm.3 RHOBTB3 ENSG00000164292
uc003knc.3 RGMB ENSG00000174136
uc003ksu.3 LOX ENSG00000113083
uc003lay.3 CXCL14 ENSG00000145824
uc003ldb.1 EGR1 ENSG00000120738
uc003lfi.3 HBEGF ENSG00000113070
uc003ljb.3 PCDHB14 ENSG00000120327
uc003loo.3 DPYSL3 ENSG00000113657
uc003lpr.2 ADRB2 ENSG00000169252
uc003lra.1 ARHGEF37 ENSG00000183111
uc003lrh.3 SLC26A2 ENSG00000155850
uc003lrv.2 ARSI ENSG00000183876
uc003lrw.3 TCOF1 ENSG00000070814
uc003lsp.3 SYNPO ENSG00000171992
uc003lue.4 FAT2 ENSG00000086570
uc003luf.3 CTB-113P19.4 ENSG00000260581
uc003lwz.4 ADAM19 ENSG00000135074
uc003lyd.3 C1QTNF2 ENSG00000145861
uc003lyq.2 RP11-109J4.1 ENSG00000253417
uc003mag.2 FAM196B ENSG00000204767
uc003mbh.3 NPM1 ENSG00000181163
uc003mbo.1 STK10 ENSG00000072786
uc003mch.3 CREBRF ENSG00000164463
uc003mxp.1 DSP ENSG00000096696
uc003mxu.4 BMP6 ENSG00000153162
uc003mxz.3 EEF1E1 ENSG00000124802
uc003mzg.3 PAK1IP1 ENSG00000111845
uc003nkj.5 ZSCAN12P1 ENSG00000219891
uc003okz.2 FKBP5 ENSG00000096060
uc003oxy.3 ENPP4 ENSG00000001561
uc003ozj.2 C6orf141 ENSG00000197261
uc003pdc.4 DST ENSG00000151914
uc003pgq.3 RP11-398K22.12 ENSG00000229852
uc003pmv.3 PNRC1 ENSG00000146278
uc003pwi.1 FRK ENSG00000111816
uc003qem.1 SLC2A12 ENSG00000146411
uc003qht.2 PERP ENSG00000112378
uc003qhu.3 KIAA1244 ENSG00000112379
uc003qks.4 STX11 ENSG00000135604
uc003qkt.3 UTRN ENSG00000152818
uc003qmc.2 SAMD5 ENSG00000203727
uc003qmg.3 UST ENSG00000111962
uc003qng.2 LRP11 ENSG00000120256
uc003qnj.3 RAET1E ENSG00000164520
uc003qnp.3 ULBP1 ENSG00000111981
uc003qnt.3 PPP1R14C ENSG00000198729
